,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
768,768,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,1248270327559475207,1248270327559475207,1586445812000,2020-04-09,19:53:32,430,1084775412687912960,vipbourse,vip بورس,,"#فوری

منابع #اوپك :
روسيه و عربستان سعودى به توافق جهت كاهش عميق توليدات رسيده اند

هم اکنون #نفت با رشد همراه شده است.

#بورس
#شپنا
#شتران
#پالایشگاه pic.twitter.com/VyWdnwM4f3",[],[],['https://pbs.twimg.com/media/EVK-_WSVAAAab41.jpg'],0,0,2,"['#فوری', '#اوپك', '#نفت', '#بورس', '#شپنا', '#شتران', '#پالایشگاه']",[],https://twitter.com/vipbourse/status/1248270327559475207,False,,0,,,,,,,"[{'user_id': '1084775412687912960', 'username': 'vipbourse'}]",,,,,0.9930740594863892
769,769,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,1248528797294624770,1248528797294624770,1586507436000,2020-04-10,13:00:36,430,1024749624802902016,aghayebazar,aghayebazar,,"نگاهی به وضعیت بازار ۱۳۹۹/۰۱/۲۰
#صبا #رانفور #شتران #دماوند #قرن #وبملت #ذوب #غگل #فرابورس #ونوین #شاخص_کل_بورس #شاخص_کل #دلار #نرخ_ارز #مس #نفت #نفت_برنت #طلا #انس_طلا #بورس_تهران #بورس #ارزش_معاملات #فرابورس #بازار_سرمایه #آقای_بازار
@aghayebazar pic.twitter.com/gnfNcwu03Y",['aghayebazar'],[],['https://pbs.twimg.com/media/EVOqT2SUcAE87mU.jpg'],0,0,0,"['#صبا', '#رانفور', '#شتران', '#دماوند', '#قرن', '#وبملت', '#ذوب', '#غگل', '#فرابورس', '#ونوین', '#شاخص_کل_بورس', '#شاخص_کل', '#دلار', '#نرخ_ارز', '#مس', '#نفت', '#نفت_برنت', '#طلا', '#انس_طلا', '#بورس_تهران', '#بورس', '#ارزش_معاملات', '#فرابورس', '#بازار_سرمایه', '#آقای_بازار']",[],https://twitter.com/aghayebazar/status/1248528797294624770,False,,0,,,,,,,"[{'user_id': '1024749624802902016', 'username': 'aghayebazar'}]",,,,,0.5379239916801453
770,770,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,1249011079117750278,1249007773431607296,1586622421000,2020-04-11,20:57:01,430,729625417,shahbazialii,ALIshahbazi 🚩,,"سیگنال خرید امروز ۲۳/۱/۹۹
#پترول
#خکاوه
#آبین
#قمرو
#فمراد
#شتران
#شپنا
پرسود باشید😊😊",['deyac00oo1'],[],[],4,0,12,"['#پترول', '#خکاوه', '#آبین', '#قمرو', '#فمراد', '#شتران', '#شپنا']",[],https://twitter.com/shahbazialii/status/1249011079117750278,False,,0,,,,,,,"[{'user_id': '729625417', 'username': 'shahbazialii'}, {'user_id': '911550043802554368', 'username': 'deyac00oo1'}]",,,,,0.2087581753730774
771,771,771.0,771.0,771.0,771.0,771.0,771.0,771.0,771.0,771.0,771.0,771.0,1248964839097208832,1248964839097208832,1586611396000,2020-04-11,17:53:16,430,1024749624802902016,aghayebazar,aghayebazar,,"نگاهی به وضعیت بازار ۱۳۹۹/۰۱/۲۳
#شتران #رانفور #پترول #شپنا #فولاد #ذوب #وتجارت #دماوند #خپارس #بترانس #شاخص_کل_بورس #شاخص_کل #دلار #نرخ_ارز #مس #نفت #نفت_برنت #طلا #انس_طلا #بورس_تهران #بورس #ارزش_معاملات #فرابورس #بازار_سرمایه #آقای_بازار
@aghayebazar pic.twitter.com/y74bWaUxNl",['aghayebazar'],[],['https://pbs.twimg.com/media/EVU2uPXWkAAlUFf.jpg'],0,0,0,"['#شتران', '#رانفور', '#پترول', '#شپنا', '#فولاد', '#ذوب', '#وتجارت', '#دماوند', '#خپارس', '#بترانس', '#شاخص_کل_بورس', '#شاخص_کل', '#دلار', '#نرخ_ارز', '#مس', '#نفت', '#نفت_برنت', '#طلا', '#انس_طلا', '#بورس_تهران', '#بورس', '#ارزش_معاملات', '#فرابورس', '#بازار_سرمایه', '#آقای_بازار']",[],https://twitter.com/aghayebazar/status/1248964839097208832,False,,0,,,,,,,"[{'user_id': '1024749624802902016', 'username': 'aghayebazar'}]",,,,,0.5266570448875427
772,772,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,772.0,1249222548090429440,1249222548090429440,1586672839000,2020-04-12,10:57:19,430,1006066189569798144,mahyar_aminii,هفتِ رو تاس,,"پالایشگاه نفت تهران خیلی خودجوش نامه زده
من داشتم گروه های تلگرامی رو میگشتم شایعه شده افزایش سرمایه دارم
نه بابا ندارم زر میزنن
هیچ قانونی هم زورش نکرده نامه بزنه
50 میلیون صف داشت
همرو دادن😊☺️
مرسی که انقد به فکر مردمین
#بورس #شتران",[],[],[],2,0,8,"['#بورس', '#شتران']",[],https://twitter.com/Mahyar_aminii/status/1249222548090429440,False,,0,,,,,,,"[{'user_id': '1006066189569798144', 'username': 'Mahyar_aminii'}]",,,,,0.03873154520988464
773,773,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,773.0,1249203521808982022,1249203521808982022,1586668303000,2020-04-12,09:41:43,430,964464059725897728,shayan_longman,Postman-pat💌,,"نه به بعضی از سهم ها که اصلا #حجم_مبنا پر نمیکنه 
نه به #شتران که پِنجاه برابر حجم مبناش معامله میشه🛢️
#بازار_سرمایه
#بورسانه",[],[],[],0,0,16,"['#حجم_مبنا', '#شتران', '#بازار_سرمایه', '#بورسانه']",[],https://twitter.com/shayan_longman/status/1249203521808982022,False,,0,,,,,,,"[{'user_id': '964464059725897728', 'username': 'shayan_longman'}]",,,,,0.4692760109901428
774,774,774.0,774.0,774.0,774.0,774.0,774.0,774.0,774.0,774.0,774.0,774.0,1249445525574877192,1249445525574877192,1586726001000,2020-04-13,01:43:21,430,940673205051805698,aamomamad,عاموممد,,"چندتا سهم هست اکثرا پول درشتای بازار دارن 
#رانفور
#فاراک
#حکشتی
#شتران 
هر گروهی تو تلگرام میری ازش میگن! 
این وسط #رانفور سابقه نداشته این حجم معاملات براش! ترند نزولی ۱۷ ساله سهم تو جارت تعدیل نشده داره میشکنه !
#بورس",[],[],[],0,0,0,"['#رانفور', '#فاراک', '#حکشتی', '#شتران', '#رانفور', '#بورس']",[],https://twitter.com/aamomamad/status/1249445525574877192,False,,0,,,,,,,"[{'user_id': '940673205051805698', 'username': 'aamomamad'}]",,,,,0.13103297352790833
775,775,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,775.0,1250788234193444867,1250786498775056387,1587046128000,2020-04-16,18:38:48,430,1106176211103952904,salavimajid,سید مجید علوی,,#ولبهمن،#خدیزل،#تاپیکو،#شتران،-#ذوب,['teriboun1'],[],[],0,0,1,"['#ولبهمن', '#خدیزل', '#تاپیکو', '#شتران', '#ذوب']",[],https://twitter.com/sAlaviMajid/status/1250788234193444867,False,,0,,,,,,,"[{'user_id': '1106176211103952904', 'username': 'sAlaviMajid'}, {'user_id': '803845317657554946', 'username': 'teriboun1'}]",,,,,0.998102366924286
776,776,776.0,776.0,776.0,776.0,776.0,776.0,776.0,776.0,776.0,776.0,776.0,1251059224697847809,1251059224697847809,1587110737000,2020-04-17,12:35:37,430,880760866089709568,sobhanm28,Sobhan,,"هر موقع نفت پایین میکشه منم یدور باهاش پایین میکشم :|
#شتران
#بورس",[],[],[],0,0,3,"['#شتران', '#بورس']",[],https://twitter.com/sobhanm28/status/1251059224697847809,False,,0,,,,,,,"[{'user_id': '880760866089709568', 'username': 'sobhanm28'}]",,,,,0.38595399260520935
777,777,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,1251566309055356930,1251566309055356930,1587231635000,2020-04-18,22:10:35,430,2760191315,mahdiyan82,پنجره ای به دنیای بورس,,"#پالایشی
✅ در گروه نفتی و پالایشی معاملات پر حجم دنبال می‌شود. برخی معتقدند بحث واگذاری‌های دولتی سبب رشد نمادهای این گروه خواهد شد. به لحاظ تکنیکی 2 نماد #شبندر و #شتران گزینه‌های جذاب‌تری هستند
#شبندر #شتران 💪🏼💪🏼💪🏼  pic.twitter.com/VqUtKbX7tR",[],[],"['https://pbs.twimg.com/media/EV506zkXkAA7y39.jpg', 'https://pbs.twimg.com/media/EV506zoX0AEsQl7.jpg']",1,0,3,"['#پالایشی', '#شبندر', '#شتران', '#شبندر', '#شتران']",[],https://twitter.com/mahdiyan82/status/1251566309055356930,False,,0,,,,,,,"[{'user_id': '2760191315', 'username': 'mahdiyan82'}]",,,,,0.7944645881652832
778,778,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,1251596275260235776,1251596275260235776,1587238780000,2020-04-19,00:09:40,430,949005036390055937,hodl_hold,Emad Attarzadeh,,"#شتران #شبندر #فولاژ هر سه سهم تحلیلشون موجوده و دقیقا مطابق تحلیل حرکت کردن و همه اهداف در دسترسه. هر سه از بهترین های بازار هستن.

#بورس #سهام #شاخص #عرضه_اولیه #کد_بورسی #فرابورس #سود #کارگزاری",[],[],[],0,0,2,"['#شتران', '#شبندر', '#فولاژ', '#بورس', '#سهام', '#شاخص', '#عرضه_اولیه', '#کد_بورسی', '#فرابورس', '#سود', '#کارگزاری']",[],https://twitter.com/Hodl_Hold/status/1251596275260235776,False,,0,,,,,,,"[{'user_id': '949005036390055937', 'username': 'Hodl_Hold'}]",,,,,0.7864276170730591
779,779,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,1251852536643977219,1251852536643977219,1587299877000,2020-04-19,17:07:57,430,834178147,alireza_jalilii,AliReza jalili | علیرضا جلیلی,,"کم کم تحرکات حقوقیای #شتران
داره شروع میشه 😂

چه معنی میده #سهم
#صف #خرید باشه؟",[],[],[],0,0,0,"['#شتران', '#سهم', '#صف', '#خرید']",[],https://twitter.com/alireza_jalilii/status/1251852536643977219,False,,0,,,,,,,"[{'user_id': '834178147', 'username': 'alireza_jalilii'}]",,,,,0.21353575587272644
