,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Feel
23,23,23,23,23,23,1178594203703468032,1178594203703468032,1569833730000,2019-09-30,12:25:30,430,986116312920453120,abandidgah,دیدگاه آبان,,"در گروه محصولات غذایی نمادهای #غشهداب، #غمارگ، #غنوش، #غبهنوش، #غشصفا،#تبرک، #غپآذر مورد توجهند.
#بورس",[],[],[],0,0,0,"['#غشهداب', '#غمارگ', '#غنوش', '#غبهنوش', '#غشصفا', '#تبرک', '#غپآذر', '#بورس']",[],https://twitter.com/abandidgah/status/1178594203703468032,False,,0,,,,,,,"[{'user_id': '986116312920453120', 'username': 'abandidgah'}]",,,,,0.9979572296142578
24,24,24,24,24,24,1178596010337144833,1178596010337144833,1569834160000,2019-09-30,12:32:40,430,971264702612430850,boursenews_ir,بورس نیوز,,"نمادهای #غشهداب، #غمارگ، #غنوش، #غبهنوش، #غشصفا،# تبرک، #غپآذر در #غذایی ها با صف خرید همراه هستند
#نبض_بازار",[],[],[],0,0,0,"['#غشهداب', '#غمارگ', '#غنوش', '#غبهنوش', '#غشصفا', '#غپآذر', '#غذایی', '#نبض_بازار']",[],https://twitter.com/boursenews_ir/status/1178596010337144833,False,,0,,,,,,,"[{'user_id': '971264702612430850', 'username': 'boursenews_ir'}]",,,,,0.9345885515213012
25,25,25,25,25,25,1179600269765742592,1179600269765742592,1570073594000,2019-10-03,07:03:14,430,865540151547576320,mohsen_soo,Mohsen.Sohanaki,,"#آبجو فروشی چه سودی داره ! 
#غبهنوش  pic.twitter.com/7EymKntJFK",[],[],['https://pbs.twimg.com/media/EF7G1mCWsAAh5wg.jpg'],0,0,2,"['#آبجو', '#غبهنوش']",[],https://twitter.com/Mohsen_Soo/status/1179600269765742592,False,,0,,,,,,,"[{'user_id': '865540151547576320', 'username': 'Mohsen_Soo'}]",,,,,0.9339637160301208
26,26,26,26,26,26,1184973532738052096,1184973532738052096,1571354680000,2019-10-18,02:54:40,430,974356729856053248,farandwidecom,Far & Wide,,English is the most spoken language in the world. Can you guess what No. 2 is?,[],[],[],39,16,49,[],[],https://twitter.com/FarandWidecom/status/1184973532738052096,False,,0,,,,,,,"[{'user_id': '974356729856053248', 'username': 'FarandWidecom'}]",,,,,0.5720086097717285
27,27,27,27,27,28,1243546223543451649,1243546223543451649,1585319498000,2020-03-27,19:01:38,430,1002646820,sirous_ahmadi,sirous ahmadi,,"✅ #غبهنوش  سخت و دشوار هست خرید و ورود ...

✅  اگر بتوانید بخرید عالی است !

✅  یکی از سنگین ترین افزایش سرمایه های تاریخ بورس را در دستور کار دارد ...
#بورس
#سیگنال
کانال تلگرام  :
t.m/ahmadi_sirous",[],[],[],1,0,4,"['#غبهنوش', '#بورس', '#سیگنال']",[],https://twitter.com/sirous_ahmadi/status/1243546223543451649,False,,0,,,,,,,"[{'user_id': '1002646820', 'username': 'sirous_ahmadi'}]",,,,,0.9820287227630616
28,28,28,28,28,29,1260823785877405697,1260818605220016128,1589438790000,2020-05-14,11:16:30,430,803845317657554946,teriboun1,مینا ورشوچی,,دارم میرم محصولات #غبهنوش برای افطاری بخرم😉,['mbabaei4'],[],[],2,0,3,['#غبهنوش'],[],https://twitter.com/teriboun1/status/1260823785877405697,False,,0,,,,,,,"[{'user_id': '803845317657554946', 'username': 'teriboun1'}, {'user_id': '3376933599', 'username': 'Mbabaei4'}]",,,,,0.8732357025146484
29,29,29,29,29,30,1276098246713229312,1276098246713229312,1593080505000,2020-06-25,14:51:45,430,1260457106240606213,fsignal11,free_signal11,,"New post in سیگنال‌رانتی و‌آموزش‌رایگان‌بورس: چهارشنبه ۰۴ تیر ۹۹

نمادهایی که احتمال دارد روزشنبه  متوقف شوند

۲۰ درصدی‌ها:

#غنوش |#سغرب |#بموتو |#فلامی |#تپمپی |#غبهنوش |#خاهن |#ختور |#وتوکا |#حتاید |#ولغدر |#شپدیس |#رکیش |#بکهنوج |#چکاپا |#گکوثر |#پار…  https://ift.tt/2zcVSbL ",[],['https://ift.tt/2zcVSbL'],[],0,0,0,"['#غنوش', '#سغرب', '#بموتو', '#فلامی', '#تپمپی', '#غبهنوش', '#خاهن', '#ختور', '#وتوکا', '#حتاید', '#ولغدر', '#شپدیس', '#رکیش', '#بکهنوج', '#چکاپا', '#گکوثر', '#پار']",[],https://twitter.com/FSignal11/status/1276098246713229312,False,,0,,,,,,,"[{'user_id': '1260457106240606213', 'username': 'FSignal11'}]",,,,,0.3983955383300781
30,30,30,30,30,31,1277273961148157952,1277273961148157952,1593360817000,2020-06-28,20:43:37,430,1269748075377168384,mrbrokerr,MrBroker,,"🔴 نمادهایی که احتمال دارد روزکاری بعد متوقف شوند

🔸۲۰ درصدی‌ها:

#وصندوق |#وساپا |#داسوه |#وسپه |#سخزر |#غبهنوش |#چکاوه |#قچار |#ساوه |#ثاخت |#شپنا |#همراه |#غگلپا |#بزاگرس
🔸۵۰ درصدی‌ها:
#فسرب |#قچار |#وصندوق |#خراسان |#ساوه |#حتاید |#اعتلا |#آ س پ |#شراز |#بزاگرس
#بورس",[],[],[],0,0,0,"['#وصندوق', '#وساپا', '#داسوه', '#وسپه', '#سخزر', '#غبهنوش', '#چکاوه', '#قچار', '#ساوه', '#ثاخت', '#شپنا', '#همراه', '#غگلپا', '#بزاگرس', '#فسرب', '#قچار', '#وصندوق', '#خراسان', '#ساوه', '#حتاید', '#اعتلا', '#آ', '#شراز', '#بزاگرس', '#بورس']",[],https://twitter.com/MrBrokerr/status/1277273961148157952,False,,0,,,,,,,"[{'user_id': '1269748075377168384', 'username': 'MrBrokerr'}]",,,,,0.9655449390411376
31,31,31,31,31,32,1289476289846542336,1289422836096831490,1596270079000,2020-08-01,12:51:19,430,949320672156758016,amammadhosein,شیخ محمد حسین,,اینام گزارش نمیدن #لابسا #فولاد #سبهان #حپترو #تمحرکه #لسرما #وتجارت #دروز #افق #ملت #پاکشو #حفاری #غالبر #کروی #غپاک #کساوه #پدرخش #تکشا #حفارس #خاهن #خپویش #غبهنوش #کپارس #آپ #خزامیا #فجام #زپارس #خودرو #فاسمین #تکنو,['randolph7193'],[],[],1,0,2,"['#لابسا', '#فولاد', '#سبهان', '#حپترو', '#تمحرکه', '#لسرما', '#وتجارت', '#دروز', '#افق', '#ملت', '#پاکشو', '#حفاری', '#غالبر', '#کروی', '#غپاک', '#کساوه', '#پدرخش', '#تکشا', '#حفارس', '#خاهن', '#خپویش', '#غبهنوش', '#کپارس', '#آپ', '#خزامیا', '#فجام', '#زپارس', '#خودرو', '#فاسمین', '#تکنو']",[],https://twitter.com/Amammadhosein/status/1289476289846542336,False,,0,,,,,,,"[{'user_id': '949320672156758016', 'username': 'Amammadhosein'}, {'user_id': '1036660669658091522', 'username': 'randolph7193'}]",,,,,0.7884209156036377
32,32,32,32,32,0,1290575081329106944,1290575081329106944,1596532051000,2020-08-04,13:37:31,430,2506961817,amph1157,بیگ بد ولف,,"#خموتور #پارسان 
نگاه کنید
همینطور #غبهنوش",[],[],[],2,1,23,"['#خموتور', '#پارسان', '#غبهنوش']",[],https://twitter.com/amph1157/status/1290575081329106944,False,,0,,,,,,,"[{'user_id': '2506961817', 'username': 'amph1157'}]",,,,,0.9748685956001282
